"","Date","Precip.mm","Month","Year"
"1",1981-01-01,0.3,1,1981
"2",1981-01-02,0,1,1981
"3",1981-01-03,0,1,1981
"4",1981-01-04,0,1,1981
"5",1981-01-05,0,1,1981
"6",1981-01-06,0,1,1981
"7",1981-01-07,0.3,1,1981
"8",1981-01-08,0,1,1981
"9",1981-01-09,0,1,1981
"10",1981-01-10,0,1,1981
"11",1981-01-11,0,1,1981
"12",1981-01-12,0,1,1981
"13",1981-01-13,0,1,1981
"14",1981-01-14,0,1,1981
"15",1981-01-15,0.5,1,1981
"16",1981-01-16,0,1,1981
"17",1981-01-17,0,1,1981
"18",1981-01-18,0,1,1981
"19",1981-01-19,0,1,1981
"20",1981-01-20,5.6,1,1981
"21",1981-01-21,0.3,1,1981
"22",1981-01-22,0,1,1981
"23",1981-01-23,0,1,1981
"24",1981-01-24,0,1,1981
"25",1981-01-25,0,1,1981
"26",1981-01-26,0,1,1981
"27",1981-01-27,2.3,1,1981
"28",1981-01-28,0,1,1981
"29",1981-01-29,0,1,1981
"30",1981-01-30,5.6,1,1981
"31",1981-01-31,0,1,1981
"32",1981-02-01,14.7,2,1981
"33",1981-02-02,11.2,2,1981
"34",1981-02-03,0.3,2,1981
"35",1981-02-04,0,2,1981
"36",1981-02-05,0,2,1981
"37",1981-02-06,0,2,1981
"38",1981-02-07,0,2,1981
"39",1981-02-08,0.3,2,1981
"40",1981-02-09,0,2,1981
"41",1981-02-10,38.6,2,1981
"42",1981-02-11,3.3,2,1981
"43",1981-02-12,0,2,1981
"44",1981-02-13,0,2,1981
"45",1981-02-14,0,2,1981
"46",1981-02-15,0,2,1981
"47",1981-02-16,0,2,1981
"48",1981-02-17,18.8,2,1981
"49",1981-02-18,4.3,2,1981
"50",1981-02-19,3,2,1981
"51",1981-02-20,6.4,2,1981
"52",1981-02-21,0,2,1981
"53",1981-02-22,1.3,2,1981
"54",1981-02-23,5.8,2,1981
"55",1981-02-24,0,2,1981
"56",1981-02-25,0,2,1981
"57",1981-02-26,0,2,1981
"58",1981-02-27,0,2,1981
"59",1981-02-28,0,2,1981
"60",1981-03-01,0,3,1981
"61",1981-03-02,0,3,1981
"62",1981-03-03,0,3,1981
"63",1981-03-04,8.6,3,1981
"64",1981-03-05,1,3,1981
"65",1981-03-06,0,3,1981
"66",1981-03-07,0,3,1981
"67",1981-03-08,0,3,1981
"68",1981-03-09,0,3,1981
"69",1981-03-10,0,3,1981
"70",1981-03-11,0,3,1981
"71",1981-03-12,0,3,1981
"72",1981-03-13,1.3,3,1981
"73",1981-03-14,0,3,1981
"74",1981-03-15,0,3,1981
"75",1981-03-16,3.6,3,1981
"76",1981-03-17,0,3,1981
"77",1981-03-18,0,3,1981
"78",1981-03-19,1.5,3,1981
"79",1981-03-20,0.3,3,1981
"80",1981-03-21,0,3,1981
"81",1981-03-22,10.7,3,1981
"82",1981-03-23,0,3,1981
"83",1981-03-24,0,3,1981
"84",1981-03-25,0,3,1981
"85",1981-03-26,0,3,1981
"86",1981-03-27,0,3,1981
"87",1981-03-28,0,3,1981
"88",1981-03-29,0,3,1981
"89",1981-03-30,24.9,3,1981
"90",1981-03-31,0,3,1981
"91",1981-04-01,2.8,4,1981
"92",1981-04-02,0,4,1981
"93",1981-04-03,0,4,1981
"94",1981-04-04,0,4,1981
"95",1981-04-05,8.1,4,1981
"96",1981-04-06,0,4,1981
"97",1981-04-07,0,4,1981
"98",1981-04-08,0,4,1981
"99",1981-04-09,2.3,4,1981
"100",1981-04-10,0,4,1981
"101",1981-04-11,0,4,1981
"102",1981-04-12,0,4,1981
"103",1981-04-13,0.8,4,1981
"104",1981-04-14,1.8,4,1981
"105",1981-04-15,0,4,1981
"106",1981-04-16,0,4,1981
"107",1981-04-17,7.1,4,1981
"108",1981-04-18,1.3,4,1981
"109",1981-04-19,5.8,4,1981
"110",1981-04-20,4.1,4,1981
"111",1981-04-21,0,4,1981
"112",1981-04-22,0,4,1981
"113",1981-04-23,8.6,4,1981
"114",1981-04-24,0,4,1981
"115",1981-04-25,0,4,1981
"116",1981-04-26,0,4,1981
"117",1981-04-27,0,4,1981
"118",1981-04-28,0,4,1981
"119",1981-04-29,0.5,4,1981
"120",1981-04-30,0,4,1981
"121",1981-05-01,0,5,1981
"122",1981-05-02,0,5,1981
"123",1981-05-03,0,5,1981
"124",1981-05-04,0,5,1981
"125",1981-05-05,0,5,1981
"126",1981-05-06,7.6,5,1981
"127",1981-05-07,1.8,5,1981
"128",1981-05-08,0,5,1981
"129",1981-05-09,0,5,1981
"130",1981-05-10,30.2,5,1981
"131",1981-05-11,6.9,5,1981
"132",1981-05-12,0,5,1981
"133",1981-05-13,0,5,1981
"134",1981-05-14,7.4,5,1981
"135",1981-05-15,0,5,1981
"136",1981-05-16,0,5,1981
"137",1981-05-17,1,5,1981
"138",1981-05-18,0.5,5,1981
"139",1981-05-19,13.7,5,1981
"140",1981-05-20,16.8,5,1981
"141",1981-05-21,0,5,1981
"142",1981-05-22,0,5,1981
"143",1981-05-23,0,5,1981
"144",1981-05-24,0,5,1981
"145",1981-05-25,0.3,5,1981
"146",1981-05-26,7.4,5,1981
"147",1981-05-27,44.7,5,1981
"148",1981-05-28,0,5,1981
"149",1981-05-29,0,5,1981
"150",1981-05-30,1,5,1981
"151",1981-05-31,1.8,5,1981
"152",1981-06-01,2,6,1981
"153",1981-06-02,1.5,6,1981
"154",1981-06-03,10.9,6,1981
"155",1981-06-04,2.8,6,1981
"156",1981-06-05,0,6,1981
"157",1981-06-06,3.3,6,1981
"158",1981-06-07,0,6,1981
"159",1981-06-08,0,6,1981
"160",1981-06-09,0,6,1981
"161",1981-06-10,0.8,6,1981
"162",1981-06-11,0,6,1981
"163",1981-06-12,0,6,1981
"164",1981-06-13,0.8,6,1981
"165",1981-06-14,0,6,1981
"166",1981-06-15,0,6,1981
"167",1981-06-16,0,6,1981
"168",1981-06-17,0,6,1981
"169",1981-06-18,0,6,1981
"170",1981-06-19,3.6,6,1981
"171",1981-06-20,0.3,6,1981
"172",1981-06-21,0,6,1981
"173",1981-06-22,12.2,6,1981
"174",1981-06-23,0,6,1981
"175",1981-06-24,0.8,6,1981
"176",1981-06-25,36.1,6,1981
"177",1981-06-26,0,6,1981
"178",1981-06-27,0,6,1981
"179",1981-06-28,0,6,1981
"180",1981-06-29,0,6,1981
"181",1981-06-30,14.5,6,1981
"182",1981-07-01,0,7,1981
"183",1981-07-02,3.3,7,1981
"184",1981-07-03,0,7,1981
"185",1981-07-04,4.1,7,1981
"186",1981-07-05,2.3,7,1981
"187",1981-07-06,0.3,7,1981
"188",1981-07-07,0,7,1981
"189",1981-07-08,0,7,1981
"190",1981-07-09,0,7,1981
"191",1981-07-10,0,7,1981
"192",1981-07-11,0,7,1981
"193",1981-07-12,0,7,1981
"194",1981-07-13,0,7,1981
"195",1981-07-14,0,7,1981
"196",1981-07-15,21.1,7,1981
"197",1981-07-16,4.3,7,1981
"198",1981-07-17,0,7,1981
"199",1981-07-18,0,7,1981
"200",1981-07-19,6.9,7,1981
"201",1981-07-20,1,7,1981
"202",1981-07-21,0,7,1981
"203",1981-07-22,0,7,1981
"204",1981-07-23,5.6,7,1981
"205",1981-07-24,8.1,7,1981
"206",1981-07-25,3.3,7,1981
"207",1981-07-26,0,7,1981
"208",1981-07-27,0,7,1981
"209",1981-07-28,3.6,7,1981
"210",1981-07-29,3.8,7,1981
"211",1981-07-30,0.8,7,1981
"212",1981-07-31,0,7,1981
"213",1981-08-01,4.3,8,1981
"214",1981-08-02,0.3,8,1981
"215",1981-08-03,0,8,1981
"216",1981-08-04,0,8,1981
"217",1981-08-05,0,8,1981
"218",1981-08-06,11.2,8,1981
"219",1981-08-07,27.2,8,1981
"220",1981-08-08,3.6,8,1981
"221",1981-08-09,0,8,1981
"222",1981-08-10,0,8,1981
"223",1981-08-11,0,8,1981
"224",1981-08-12,0,8,1981
"225",1981-08-13,0,8,1981
"226",1981-08-14,0,8,1981
"227",1981-08-15,0,8,1981
"228",1981-08-16,0,8,1981
"229",1981-08-17,0,8,1981
"230",1981-08-18,0,8,1981
"231",1981-08-19,0,8,1981
"232",1981-08-20,0,8,1981
"233",1981-08-21,0,8,1981
"234",1981-08-22,0,8,1981
"235",1981-08-23,0,8,1981
"236",1981-08-24,0,8,1981
"237",1981-08-25,0,8,1981
"238",1981-08-26,0,8,1981
"239",1981-08-27,0,8,1981
"240",1981-08-28,0,8,1981
"241",1981-08-29,0,8,1981
"242",1981-08-30,0,8,1981
"243",1981-08-31,0,8,1981
"244",1981-09-01,7.1,9,1981
"245",1981-09-02,0,9,1981
"246",1981-09-03,0,9,1981
"247",1981-09-04,2,9,1981
"248",1981-09-05,2.8,9,1981
"249",1981-09-06,21.1,9,1981
"250",1981-09-07,14.5,9,1981
"251",1981-09-08,0,9,1981
"252",1981-09-09,0,9,1981
"253",1981-09-10,0,9,1981
"254",1981-09-11,0,9,1981
"255",1981-09-12,0,9,1981
"256",1981-09-13,0,9,1981
"257",1981-09-14,0,9,1981
"258",1981-09-15,14.5,9,1981
"259",1981-09-16,2.8,9,1981
"260",1981-09-17,0,9,1981
"261",1981-09-18,0,9,1981
"262",1981-09-19,0,9,1981
"263",1981-09-20,0,9,1981
"264",1981-09-21,0,9,1981
"265",1981-09-22,0,9,1981
"266",1981-09-23,0,9,1981
"267",1981-09-24,0,9,1981
"268",1981-09-25,0,9,1981
"269",1981-09-26,0,9,1981
"270",1981-09-27,0,9,1981
"271",1981-09-28,0,9,1981
"272",1981-09-29,0,9,1981
"273",1981-09-30,0,9,1981
"274",1981-10-01,4.8,10,1981
"275",1981-10-02,1.5,10,1981
"276",1981-10-03,0,10,1981
"277",1981-10-04,0,10,1981
"278",1981-10-05,0.3,10,1981
"279",1981-10-06,1.5,10,1981
"280",1981-10-07,0,10,1981
"281",1981-10-08,0,10,1981
"282",1981-10-09,0.5,10,1981
"283",1981-10-10,1.5,10,1981
"284",1981-10-11,0,10,1981
"285",1981-10-12,0,10,1981
"286",1981-10-13,0,10,1981
"287",1981-10-14,0,10,1981
"288",1981-10-15,0,10,1981
"289",1981-10-16,0,10,1981
"290",1981-10-17,0,10,1981
"291",1981-10-18,0,10,1981
"292",1981-10-19,0,10,1981
"293",1981-10-20,0,10,1981
"294",1981-10-21,0,10,1981
"295",1981-10-22,0,10,1981
"296",1981-10-23,7.6,10,1981
"297",1981-10-24,0,10,1981
"298",1981-10-25,11.4,10,1981
"299",1981-10-26,16.3,10,1981
"300",1981-10-27,1.5,10,1981
"301",1981-10-28,0,10,1981
"302",1981-10-29,0,10,1981
"303",1981-10-30,0,10,1981
"304",1981-10-31,0,10,1981
"305",1981-11-01,0,11,1981
"306",1981-11-02,0,11,1981
"307",1981-11-03,0,11,1981
"308",1981-11-04,0,11,1981
"309",1981-11-05,2,11,1981
"310",1981-11-06,0,11,1981
"311",1981-11-07,0,11,1981
"312",1981-11-08,0,11,1981
"313",1981-11-09,0,11,1981
"314",1981-11-10,0,11,1981
"315",1981-11-11,0,11,1981
"316",1981-11-12,0,11,1981
"317",1981-11-13,0,11,1981
"318",1981-11-14,0,11,1981
"319",1981-11-15,0,11,1981
"320",1981-11-16,1,11,1981
"321",1981-11-17,0,11,1981
"322",1981-11-18,0,11,1981
"323",1981-11-19,0,11,1981
"324",1981-11-20,0,11,1981
"325",1981-11-21,0,11,1981
"326",1981-11-22,0,11,1981
"327",1981-11-23,0,11,1981
"328",1981-11-24,3.6,11,1981
"329",1981-11-25,0,11,1981
"330",1981-11-26,0,11,1981
"331",1981-11-27,6.1,11,1981
"332",1981-11-28,0,11,1981
"333",1981-11-29,0,11,1981
"334",1981-11-30,10.7,11,1981
"335",1981-12-01,6.1,12,1981
"336",1981-12-02,0,12,1981
"337",1981-12-03,0,12,1981
"338",1981-12-04,1,12,1981
"339",1981-12-05,0,12,1981
"340",1981-12-06,0,12,1981
"341",1981-12-07,0,12,1981
"342",1981-12-08,0,12,1981
"343",1981-12-09,0,12,1981
"344",1981-12-10,0,12,1981
"345",1981-12-11,0,12,1981
"346",1981-12-12,0,12,1981
"347",1981-12-13,0,12,1981
"348",1981-12-14,7.1,12,1981
"349",1981-12-15,11.2,12,1981
"350",1981-12-16,0,12,1981
"351",1981-12-17,0,12,1981
"352",1981-12-18,0,12,1981
"353",1981-12-19,0,12,1981
"354",1981-12-20,0,12,1981
"355",1981-12-21,0.3,12,1981
"356",1981-12-22,0,12,1981
"357",1981-12-23,3.3,12,1981
"358",1981-12-24,9.1,12,1981
"359",1981-12-25,20.3,12,1981
"360",1981-12-26,0,12,1981
"361",1981-12-27,0,12,1981
"362",1981-12-28,0,12,1981
"363",1981-12-29,0,12,1981
"364",1981-12-30,0,12,1981
"365",1981-12-31,34.8,12,1981
"366",1982-01-01,0,1,1982
"367",1982-01-02,0,1,1982
"368",1982-01-03,33,1,1982
"369",1982-01-04,8.9,1,1982
"370",1982-01-05,0,1,1982
"371",1982-01-06,0,1,1982
"372",1982-01-07,0,1,1982
"373",1982-01-08,0,1,1982
"374",1982-01-09,0,1,1982
"375",1982-01-10,0.3,1,1982
"376",1982-01-11,0,1,1982
"377",1982-01-12,2.5,1,1982
"378",1982-01-13,1,1,1982
"379",1982-01-14,7.1,1,1982
"380",1982-01-15,0,1,1982
"381",1982-01-16,0,1,1982
"382",1982-01-17,0,1,1982
"383",1982-01-18,0,1,1982
"384",1982-01-19,0,1,1982
"385",1982-01-20,0,1,1982
"386",1982-01-21,19.1,1,1982
"387",1982-01-22,6.4,1,1982
"388",1982-01-23,5.8,1,1982
"389",1982-01-24,0,1,1982
"390",1982-01-25,0,1,1982
"391",1982-01-26,0,1,1982
"392",1982-01-27,0,1,1982
"393",1982-01-28,0,1,1982
"394",1982-01-29,0,1,1982
