Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): Asheville, North Carolina, USA
Station Name: ASHEVILLE
Latitude: 35.6000°
Longitude: -82.5333°
Elevation (USGS): 682.7603023652767 m


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,17,19,20,22,24
10-min:, 14,16,19,22,25,28,30,32,35,38
15-min:, 17,20,25,28,32,35,38,41,44,47
30-min:, 23,28,35,40,47,52,58,63,71,77
60-min:, 29,35,45,52,63,71,80,89,102,112
2-hr:, 33,40,51,59,71,81,91,102,117,129
3-hr:, 35,41,52,61,74,85,96,108,125,139
6-hr:, 41,48,60,70,84,96,109,123,143,159
12-hr:, 50,59,73,84,99,111,124,136,153,166
24-hr:, 55,66,82,95,112,125,139,153,171,184
2-day:, 66,79,97,111,130,145,160,175,194,209
3-day:, 70,84,102,116,136,151,165,180,199,213
4-day:, 74,89,107,122,141,156,171,185,204,217
7-day:, 87,104,125,141,163,180,196,213,234,249
10-day:, 100,118,141,158,181,199,216,234,255,271
20-day:, 138,162,189,210,237,258,278,297,321,338
30-day:, 172,201,230,252,279,299,318,335,357,371
45-day:, 218,255,286,310,338,358,376,393,412,424
60-day:, 262,305,341,366,398,420,439,457,477,490

Date/time (GMT):  Sat Apr  9 01:59:34 2022
pyRunTime:  0.0251231193542
